2022-12-13 20:51:12.281498 [src/ip_input.c:64] - Thread[netdev_rx_loop] Not sup IGMP
2022-12-13 20:51:23.726274 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.827879 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:23.928632 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.030281 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.132371 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.234483 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.320019 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 13 pid 73032
2022-12-13 20:51:24.320169 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 13 pid 73032
2022-12-13 20:51:24.336090 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.438311 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.540393 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.641987 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.743191 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.844259 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:24.945982 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.047628 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.149776 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.251535 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.353220 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.454372 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.556089 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.658234 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.760328 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.861291 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:25.962887 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.065009 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.166243 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.267625 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.321607 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 13 pid 73032
2022-12-13 20:51:26.321621 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 13 pid 73032
2022-12-13 20:51:26.321638 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 13 pid 73032
2022-12-13 20:51:26.327485 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 11 pid 73313
2022-12-13 20:51:26.327626 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 11 pid 73313
2022-12-13 20:51:26.327710 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 11 pid 73313
2022-12-13 20:51:26.327850 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 11 pid 73313
2022-12-13 20:51:26.369274 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.471386 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.573765 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.675258 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.777470 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.878135 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:26.980304 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.073838 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 12 pid 73014
2022-12-13 20:51:27.073876 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 12 pid 73014
2022-12-13 20:51:27.079573 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 12 pid 73324
2022-12-13 20:51:27.079990 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 12 pid 73324
2022-12-13 20:51:27.080242 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 12 pid 73324
2022-12-13 20:51:27.080553 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 12 pid 73324
2022-12-13 20:51:27.080895 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.080980 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 12 pid 73324
2022-12-13 20:51:27.081132 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 12 pid 73324
2022-12-13 20:51:27.182274 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.284153 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.382141 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:27.386592 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.488700 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.589899 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.691321 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.791713 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.893375 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:27.995473 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:28.028199 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 12 pid 73324
2022-12-13 20:51:28.028431 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 12 pid 73324
2022-12-13 20:51:28.028540 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 12 pid 73324
2022-12-13 20:51:28.028676 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 12 pid 73324
2022-12-13 20:51:28.034745 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 12 pid 73417
2022-12-13 20:51:28.034883 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 12 pid 73417
2022-12-13 20:51:28.098107 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:28.198509 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:28.300128 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:28.328874 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 11 pid 73313
2022-12-13 20:51:28.329022 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 11 pid 73313
2022-12-13 20:51:28.402738 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:28.468371 [src/socket.c:217] - Thread[timers] Socket fd 4097 pid 72778 state 3 sk_state 0 flags 2 poll 4 sport 44651 dport 19999 recv-q 0 send-q 1: 
2022-12-13 20:51:28.468449 [src/socket.c:217] - Thread[timers] Socket fd 4098 pid 72928 state 3 sk_state 0 flags 2 poll 198 sport 47492 dport 20000 recv-q 0 send-q 0: 
2022-12-13 20:51:28.468459 [src/socket.c:217] - Thread[timers] Socket fd 4099 pid 72992 state 3 sk_state 7 flags 2 poll 967 sport 49253 dport 8001 recv-q 0 send-q 0: 
2022-12-13 20:51:28.468464 [src/socket.c:217] - Thread[timers] Socket fd 4100 pid 73003 state 3 sk_state 7 flags 2048 poll 967 sport 49264 dport 8001 recv-q 0 send-q 0: 
